# Extracted from 'Clusters_X_with_names' sheet of 20220202-ALL_data_FS_and_TTA_codons_in_clusters.xlsx
cofID	ORGS	NUM_FS_GENES	NUM_COF_ORGS	NUM_FS_and_TTA_GENES	NUM_TTA_GENES	NUM_TTA_GENE_ORGS	FULL_COF_GENES	FULL_COF_ORGS	FULL_COF_GENES_GBK	COF_NAME
1004906	Bacteria	2	1	2	0	0	2	1	2	KR domain-containing protein
1004907	Bacteria	73	35	16	58	27	131	49	66	IS5 family transposase
1004909	Bacteria	7	7	1	5	4	12	11	5	IS5/IS1182 family transposase
1004911	Bacteria	6	6	2	6	6	12	11	6	IS5/IS1182 family transposase
1004914	Bacteria	26	23	0	6	6	32	29	6	abc transporter atp-binding protein
1004917	Bacteria	3	3	1	6	6	9	8	7	FAD-dependent oxidoreductase
1004918	Bacteria	13	13	0	2	1	15	14	2	urease subunit beta
1004919	Bacteria	6	6	0	2	2	8	8	2	Unknown
1004921	Bacteria	25	25	0	2	2	27	27	2	Unknown
1004923	Bacteria	4	4	0	2	1	6	5	2	hypothetical protein
1004924	Bacteria	2	2	0	1	1	3	3	1	Unknown
1004925	Bacteria	4	4	1	48	36	52	39	55	LuxR family transcriptional regulator
1004928	Bacteria	22	22	0	3	3	25	25	3	urea abc transporter permease subunit urtc
1004929	Bacteria	27	27	1	1	1	28	28	2	uridine diphosphate-N-acetylglucosamine-binding protein YvcK
1004930	Bacteria	5	5	0	5	5	10	9	5	Unknown
1004932	Bacteria	29	29	2	12	12	41	39	14	DUF3043 domain-containing protein
1004933	Bacteria	49	49	0	1	1	50	50	1	Unknown
1004934	Bacteria	5	5	0	1	1	6	6	1	Unknown
1004936	Bacteria	9	9	0	1	1	10	10	1	Unknown
1004941	Bacteria	2	2	0	6	5	8	7	6	helicase
1004942	Bacteria	2	2	0	3	3	5	5	3	Unknown
1004946	Bacteria	4	4	0	2	2	6	6	2	Unknown
1004960	Bacteria	3	3	0	19	16	22	19	19	Unknown
1004964	Bacteria	11	11	0	8	8	19	19	9	chad domain-containing protein
1004965	Bacteria	42	42	0	5	5	47	47	5	glycosyltransferase family 1 protein
1004966	Bacteria	12	10	0	66	49	78	52	66	Unknown
1004974	Bacteria	7	7	0	7	7	14	13	7	nad(p)/fad-dependent oxidoreductase
1004975	Bacteria	17	17	0	1	1	18	18	1	Unknown
1004976	Bacteria	8	8	0	1	1	9	9	1	Unknown
1004977	Bacteria	2	2	0	3	3	5	5	3	rna polymerase sigma factor sigf
1004978	Bacteria	54	43	2	94	64	148	78	96	DUF742 domain-containing protein
1004979	Bacteria	3	3	0	2	2	5	5	2	Unknown
1004981	Bacteria	2	2	0	9	9	11	10	9	Unknown
1004984	Bacteria	11	11	0	1	1	12	12	1	Unknown
1004986	Bacteria	3	3	1	1	1	4	3	1	HAMP domain-containing protein
1004987	Bacteria	2	2	0	2	2	4	4	3	coa-binding protein
1004993	Bacteria	3	3	0	9	8	12	11	11	endoglucanase
1004995	Bacteria	2	2	0	1	1	3	3	1	Unknown
1004996	Bacteria	2	2	0	4	4	6	6	4	hypothetical protein
1004997	Bacteria	3	3	0	1	1	4	4	1	Unknown
1005002	Bacteria	4	4	0	1	1	5	5	1	Unknown
1005004	Bacteria	4	4	0	1	1	5	5	1	Unknown
1005005	Bacteria	6	6	0	2	2	8	8	2	acyl-coa dehydrogenase
1005007	Bacteria	3	3	1	6	6	9	9	7	cholesterol esterase
1005008	Bacteria	3	3	0	3	3	6	6	3	pectate lyase
1005009	Bacteria	2	2	0	6	5	8	7	6	sugar-binding protein
1005011	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005012	Bacteria	2	2	0	2	2	4	4	2	atpase
1005015	Bacteria	2	2	1	11	11	13	13	12	sam-dependent methyltransferase
1005016	Bacteria	2	1	1	41	29	43	30	42	helix-turn-helix transcriptional regulator
1005018	Bacteria	4	4	0	6	6	10	10	6	beta-n-acetylhexosaminidase
1005020	Bacteria	2	2	0	7	7	9	9	7	ohcu decarboxylase
1005024	Bacteria	3	3	0	9	9	12	11	9	mfs transporter
1005025	Bacteria	7	7	0	1	1	8	8	1	Unknown
1005027	Bacteria	6	6	1	40	29	46	34	44	lantibiotic dehydratase
1005033	Bacteria	11	10	0	1	1	12	10	1	Unknown
1005035	Bacteria	7	6	0	2	2	9	7	2	replicative dna helicase
1005037	Bacteria	2	2	0	5	5	7	7	6	aspartate aminotransferase family protein
1005038	Bacteria	14	12	0	3	3	17	15	3	maltose alpha-d-glucosyltransferase
1005039	Bacteria	6	6	0	4	4	10	10	4	dna-binding response regulator
1005040	Bacteria	34	32	0	5	5	39	35	5	phage tail protein
1005042	Bacteria	2	2	0	2	2	4	4	2	n-acetyltransferase
1005043	Bacteria	13	13	0	1	1	14	14	1	Unknown
1005047	Bacteria	10	10	0	1	1	11	11	2	Unknown
1005049	Bacteria	3	3	0	4	3	7	5	4	haloacid dehalogenase
1005053	Bacteria	6	6	1	0	0	6	6	1	Unknown
1005056	Bacteria	2	2	0	2	2	4	4	2	class i sam-dependent methyltransferase
1005057	Bacteria	2	2	0	2	2	4	4	2	prsw family intramembrane metalloprotease
1005059	Bacteria	5	5	0	2	2	7	7	2	hypothetical protein
1005061	Bacteria	11	11	0	4	3	15	14	4	tetr/acrr family transcriptional regulator
1005062	Bacteria	3	3	0	8	7	11	10	9	non-ribosomal peptide synthetase
1005064	Bacteria	7	7	0	5	5	12	12	5	sukh-3 domain containing protein
1005067	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005068	Bacteria	2	2	0	2	2	4	4	2	lpxtg cell wall anchor domain-containing protein
1005069	Bacteria	2	2	0	3	3	5	5	3	dna-binding response regulator
1005070	Bacteria	3	3	0	2	2	5	5	2	hypothetical protein
1005074	Bacteria	2	1	0	1	1	3	2	1	Unknown
1005076	Bacteria	2	1	0	4	4	6	5	4	chemotaxis protein
1005077	Bacteria	2	1	0	2	2	4	3	2	sigma-70 family rna polymerase sigma factor
1005080	Bacteria	2	1	0	2	2	4	3	2	atp-binding protein
1005088	Bacteria	2	2	0	3	3	5	5	3	dna-binding response regulator
1005090	Bacteria	83	37	12	41	30	124	54	45	IS5 family transposase
1005092	Bacteria	2	1	2	0	0	2	1	2	Unknown
1005094	Bacteria	3	3	0	1	1	4	4	1	Unknown
1005095	Bacteria	3	3	0	2	2	5	5	2	hypothetical protein
1005096	Bacteria	5	5	0	1	1	6	6	1	Unknown
1005100	Bacteria	34	34	0	10	10	44	41	10	kr domain-containing protein
1005101	Bacteria	4	3	0	7	7	11	9	7	amino acid adenylation protein
1005105	Bacteria	3	3	0	7	7	10	10	7	iron-siderophore abc transporter substrate-binding protein
1005106	Bacteria	2	2	0	4	4	6	6	4	aspartate aminotransferase family protein
1005107	Bacteria	2	2	0	2	2	4	4	2	Unknown
1005110	Bacteria	2	2	0	2	2	4	4	2	mfs transporter
1005116	Bacteria	29	29	0	5	5	34	34	5	mfs transporter
1005119	Bacteria	7	7	0	3	3	10	10	3	rna polymerase
1005123	Bacteria	10	9	1	18	15	28	24	18	esterase
1005125	Bacteria	63	45	0	64	46	127	70	65	dna-binding response regulator
1005126	Bacteria	3	3	0	2	2	5	5	2	gntr family transcriptional regulator
1005127	Bacteria	2	2	0	4	4	6	6	4	nad(p)-dependent oxidoreductase
