id	name	num_orgs	num_tta_genes	num_fs	num_tta_fs_genes	descr
1005344	xre family transcriptional regulator (99)	112	105	7	0	transcriptional regulator (3);hypothetical protein (2);helix-turn-helix domain-containing protein (2);s-adenosyl methyltransferase (1);dna-binding protein (1)
1004978	duf742 domain-containing protein (88)	148	97	54	3	atp-binding protein (7);hypothetical protein (1)
1007088	hypothetical protein (52)	76	74	5	3	tir domain-containing protein (7);xre family transcriptional regulator (5);helix-turn-helix domain-containing protein (4);wd40 repeat domain-containing protein (2);atp-binding protein (2);liga protein (1);penicillin-binding protein (1);dna-binding prot...
1006212	bifunctional diguanylate cyclase/phosphodiesterase (40)	77	72	5	0	hypothetical protein (18);pas domain s-box protein (3);methyltransferase (3);ggdef domain-containing protein (2);phosphodiesterase (2);sam-dependent methyltransferase (2);ggdef-domain containing protein (1);helix-turn-helix domain-containing protein (1...
1006578	hypothetical protein (29)	70	69	2	1	tetratricopeptide repeat protein (11);afsr family transcriptional regulator (8);sarp family transcriptional regulator (6);transcriptional regulator (6);afsr/sarp family transcriptional regulator (3);response regulator (2);positive regulator (1);atp-bin...
1004907	is5 family transposase (53)	131	64	73	6	hypothetical protein (6);is5/is1182 family transposase (4);transposase (2)
1005125	dna-binding response regulator (48)	127	64	63	0	sensor histidine kinase (11);hamp domain-containing protein (2);eama/rhat family transporter (2);hypothetical protein (1);two-component sensor histidine kinase (1)
1009212	peptidase (20)	64	62	3	1	serine hydrolase (15);hypothetical protein (10);hydrolase (7);d-alanyl-d-alanine carboxypeptidase (4);alkaline d-peptidase (4);peptide hydrolase (2);peptidase m15 (1);alpha/beta hydrolase (1)
1005603	atp-binding protein (51)	63	57	7	1	hypothetical protein (5);regulatory protein (1);transcriptional regulator (1)
1007961	atp-binding protein (52)	56	54	2	0	hypothetical protein (2)
1005888	alpha/beta hydrolase (51)	54	52	2	0	hydrolase (1)
1005886	tir domain-containing protein (23)	55	50	6	1	tetratricopeptide repeat protein (10);hypothetical protein (7);atp/gtp-binding protein (3);cytochrome c (3);atp-binding protein (2);tetratricopeptide repeat-containing protein (2);aaa family atpase (1);moxr family atpase (1)
1005933	lysr family transcriptional regulator (48)	51	49	2	0	hydrogen peroxide-inducible protein activator (1)
1005220	mfs transporter (16)	49	48	2	1	non-ribosomal peptide synthetase (9);hypothetical protein (5);fad-dependent oxidoreductase (5);fad-dependent monooxygenase (4);monooxygenase (3);amino acid adenylation domain-containing protein (2);flavin-dependent oxidoreductase (2);peptide synthetase...
1006032	fxsb family radical sam/spasm domain protein (23)	49	48	4	3	hypothetical protein (15);hexxh motif domain-containing protein (9);radical sam protein (2);aac(3) family n-acetyltransferase (1)
1008670	cytochrome p450 (25)	49	47	3	1	multidrug mfs transporter (15);hypothetical protein (5);pentalenene synthase (3);lyase (1)
1005398	xre family transcriptional regulator (41)	55	46	11	2	duf397 domain-containing protein (2);dna-binding protein (1);transcriptional regulator (1);helix-turn-helix domain-containing protein (1)
1008858	luxr family transcriptional regulator (17)	48	46	2	0	hypothetical protein (17);helix-turn-helix transcriptional regulator (7);dna-binding response regulator (5);thioesterase (1)
1005253	chitin-binding protein (34)	45	43	2	0	cellulose-binding protein (8);chitin binding domain protein (1)
