cofID	FEATURE	Cluster_size	Number_all_TTA_genes	Number FS-TTA-genes	TTA_peak num_TTA	TTA_peak ali_coord	threshold	p_value_min
1001532	immunity repressor	50	50	0	47	151	0.008223684	0.007989728
1000074	arac family transcriptional regulator	44	44	1	42	784	0.001899696	8.60E-13
1000079	arac family transcriptional regulator	38	38	2	36	826	0.001827485	1.33E-09
1000261	aminoglycoside phosphotransferase family protein	30	30	0	30	385	0.003117207	5.10E-06
1000860	atp-binding protein	26	26	0	26	43	0.005165289	0.002213168
1000224	aminoglycoside phosphotransferase family protein	28	28	0	26	445	0.002948113	2.25E-06
1000277	alpha/beta hydrolase	28	28	0	22	748	0.002224199	0.002330426
1000176	serine/threonine protein phosphatase	17	17	0	17	157	0.001438435	6.70E-06
1000202	bifunctional diguanylate cyclase/phosphodiesterase	16	16	0	16	1375	0.00147232	0.000108536
1001413	adenylosuccinate lyase	15	15	0	14	34	0.005580357	0.000689634
1000175	alpha/beta hydrolase	19	19	0	14	196	0.003787879	0.01473345
1001534	glycoside hydrolase	13	13	0	13	517	0.002090301	0.04043283
1001394	hypothetical protein	43	43	0	13	1090	0.001874063	1.08E-09
1001544	ruvc-like resolvase	12	12	0	12	175	0.006613757	0.03136177
1000408	pas domain-containing sensor histidine kinase	14	14	0	12	310	0.003056235	1.75E-05
1000095	laci family transcriptional regulator	19	19	2	12	493	0.003324468	6.58E-05
1000810	laci family transcriptional regulator	19	19	0	11	496	0.003298153	7.79E-05
1000338	pas domain-containing sensor histidine kinase	17	17	0	11	331	0.00297619	0.000169892
1000183	hypothetical protein	11	11	0	11	514	0.002802691	1.60E-08
1000167	xre family transcriptional regulator	33	33	0	11	208	0.003571429	9.34E-05
1001548	hnh endonuclease	10	10	0	10	58	0.007225434	0.001491336
1000854	hypothetical protein	13	13	0	10	286	0.003665689	0.000299866
1000435	xre family transcriptional regulator	35	35	0	10	229	0.003561254	0.00016355
1000359	cytochrome p450	49	49	2	10	178	0.002151463	0.009894185
1000219	pdz domain-containing protein	10	10	0	10	511	0.003109453	0.000159973
1000200	serine/threonine protein phosphatase	10	10	0	10	166	0.001493429	0.002765415
1001061	nudix hydrolase	10	10	0	9	499	0.00672043	0.001189733
1000439	cytochrome p450	33	33	1	9	220	0.002399232	0.01476672
